Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,46,1,28,1,1-2 Year,No,2630,124,255,0
Male,60,1,28,0,1-2 Year,Yes,40770,26,77,0
Male,59,1,48,0,> 2 Years,Yes,2630,124,30,0
Female,24,1,33,1,< 1 Year,No,29419,152,82,0
Male,22,1,18,1,< 1 Year,No,26714,152,156,0
Female,48,1,19,0,1-2 Year,Yes,2630,26,269,0
Male,26,1,28,1,< 1 Year,No,27780,152,161,0
Male,24,1,28,1,1-2 Year,No,47999,157,180,0
Male,59,1,47,0,1-2 Year,No,33278,26,152,0
Female,58,1,2,0,1-2 Year,Yes,43819,130,196,0
Female,21,1,28,0,< 1 Year,No,47795,152,126,0
Male,28,1,28,0,1-2 Year,No,39696,163,135,0
Male,52,1,29,0,1-2 Year,Yes,34930,26,153,0
Male,37,1,8,0,1-2 Year,Yes,31111,124,53,0
Male,24,1,32,0,< 1 Year,Yes,35574,151,105,0
Male,23,1,30,0,< 1 Year,Yes,15147,152,44,0
Male,45,1,1,1,1-2 Year,No,2630,124,104,0
Female,27,1,28,0,1-2 Year,Yes,29879,124,12,0
Male,24,1,3,1,< 1 Year,No,77251,152,142,0
Female,23,1,30,1,< 1 Year,No,31865,152,33,0
Female,46,1,24,1,1-2 Year,No,2630,26,71,0
Male,48,1,4,0,1-2 Year,Yes,26525,152,252,0
Female,23,1,6,1,< 1 Year,No,26268,152,177,0
Male,28,1,50,0,< 1 Year,Yes,2630,26,197,0
Female,25,1,2,1,< 1 Year,No,26032,152,179,0
Male,25,1,8,1,< 1 Year,No,40673,152,126,0
Female,22,1,41,1,< 1 Year,No,18849,152,91,0
Female,74,1,20,1,1-2 Year,No,2630,124,163,0
Female,51,1,28,1,1-2 Year,No,37908,26,30,0
Female,70,1,28,0,1-2 Year,Yes,2630,152,183,0
Female,24,1,41,1,< 1 Year,No,80718,152,15,0
Female,23,1,15,1,< 1 Year,No,29023,26,163,0
Female,48,1,28,1,1-2 Year,No,61086,124,183,0
Male,23,1,8,1,< 1 Year,No,41113,152,50,0
Female,38,1,8,0,1-2 Year,Yes,42688,124,267,0
Female,22,1,46,1,< 1 Year,No,38895,152,35,0
Female,24,1,14,0,< 1 Year,No,22648,152,255,0
Male,22,1,28,0,< 1 Year,Yes,2630,160,126,0
Female,66,1,11,0,1-2 Year,Yes,30535,155,168,0
Female,21,1,6,1,< 1 Year,No,38130,152,43,0
Female,24,1,15,1,< 1 Year,No,35381,160,119,0
Male,57,1,48,0,1-2 Year,Yes,2630,124,66,0
Female,20,1,46,1,< 1 Year,No,35246,160,69,0
Male,26,1,33,1,< 1 Year,No,33800,152,284,0
Female,25,1,36,1,< 1 Year,No,37766,151,209,0
Male,57,1,28,0,1-2 Year,Yes,43963,124,71,0
Male,66,1,8,0,> 2 Years,Yes,36406,25,71,0
Female,23,1,30,1,< 1 Year,No,26378,152,110,0
Male,22,1,28,0,< 1 Year,Yes,34798,152,29,0
Female,46,1,14,0,1-2 Year,No,38141,26,256,0
Male,59,1,28,1,1-2 Year,No,44039,13,279,0
Female,54,1,28,0,1-2 Year,Yes,32755,24,43,0
Female,44,1,26,1,1-2 Year,No,35837,120,142,0
Male,47,1,11,0,1-2 Year,No,39405,124,174,0
Female,23,1,6,1,< 1 Year,No,16539,152,29,0
Female,28,1,2,0,< 1 Year,Yes,31022,152,174,0
Male,46,1,28,0,1-2 Year,Yes,37619,124,24,0
Female,47,1,28,0,1-2 Year,Yes,37530,26,260,0
Male,37,1,28,1,1-2 Year,No,35464,151,282,0
Male,42,1,11,0,1-2 Year,Yes,26265,26,171,0
Male,67,1,46,0,1-2 Year,Yes,46045,26,249,0
Male,49,1,28,0,1-2 Year,Yes,32481,26,140,0
Female,26,1,39,1,< 1 Year,No,32371,152,179,0
Female,23,1,46,0,< 1 Year,Yes,25233,160,33,0
Female,22,1,14,1,< 1 Year,No,20274,152,268,0
Male,45,1,28,1,1-2 Year,No,41043,124,29,0
Male,40,1,28,0,1-2 Year,Yes,28771,124,62,0
Female,76,1,28,1,1-2 Year,No,2630,26,34,0
Female,47,1,28,0,> 2 Years,Yes,2630,26,135,0
Female,29,1,6,1,< 1 Year,No,29744,152,113,0
Female,21,1,3,1,< 1 Year,Yes,39866,152,111,0
Male,43,1,28,0,1-2 Year,Yes,46435,26,168,0
Female,43,1,28,1,1-2 Year,No,25994,124,87,0
Male,44,1,28,0,> 2 Years,Yes,26337,124,16,0
Female,22,1,11,0,< 1 Year,Yes,28091,152,117,0
Male,55,1,41,1,1-2 Year,No,33297,26,54,0
Male,26,1,6,1,< 1 Year,No,23687,152,208,0
Female,23,1,8,1,< 1 Year,No,39343,152,74,0
Male,28,1,32,0,< 1 Year,Yes,2630,152,13,0
Male,54,1,28,0,1-2 Year,Yes,55145,26,127,0
Male,69,1,11,1,1-2 Year,No,2630,124,75,0
Female,24,1,29,1,< 1 Year,No,40912,152,189,0
Male,42,1,8,0,1-2 Year,Yes,42220,26,16,0
Female,34,1,28,1,1-2 Year,No,63191,152,153,0
Male,33,1,28,0,1-2 Year,Yes,52359,26,155,0
Female,66,1,29,1,1-2 Year,No,45777,124,281,0
Female,22,1,11,0,1-2 Year,Yes,22999,156,215,0
Male,40,1,25,0,1-2 Year,Yes,20584,124,256,0
Male,24,1,35,1,< 1 Year,No,36124,160,26,0
Female,24,1,47,1,< 1 Year,No,35732,152,210,0
Female,71,1,33,1,1-2 Year,No,39623,122,209,0
Female,23,1,50,0,< 1 Year,Yes,27357,152,24,0
Female,29,1,47,1,< 1 Year,No,34310,152,264,0
Female,52,1,43,1,1-2 Year,No,29025,124,284,0
Male,26,1,15,0,< 1 Year,Yes,36865,152,88,0
Female,46,1,10,0,1-2 Year,Yes,36222,152,38,0
Male,43,1,50,0,1-2 Year,No,30401,124,191,0
Male,64,1,28,1,1-2 Year,No,43119,13,107,0
Male,40,1,12,1,1-2 Year,No,2630,124,259,0
Male,22,1,36,1,< 1 Year,No,32729,152,203,0
Male,27,1,28,1,< 1 Year,No,30462,152,145,0
Female,55,1,28,0,1-2 Year,Yes,28254,26,232,0
Female,50,1,28,0,> 2 Years,Yes,36840,122,121,0
Male,29,1,47,1,< 1 Year,No,35751,152,135,0
Male,53,1,28,0,1-2 Year,Yes,31186,60,53,0
Female,27,1,27,1,< 1 Year,No,36853,152,224,0
Male,51,1,8,0,1-2 Year,Yes,45593,124,207,0
Male,58,1,43,0,1-2 Year,Yes,52734,26,164,0
Female,38,1,28,0,1-2 Year,Yes,38663,26,297,0
Female,22,1,44,1,< 1 Year,No,2630,152,274,0
Female,64,1,28,0,1-2 Year,Yes,2630,122,245,0
Male,27,1,27,0,< 1 Year,No,35483,152,156,0
Female,21,1,46,1,< 1 Year,No,26161,160,117,0
Male,26,1,10,1,< 1 Year,No,19404,152,236,0
Male,63,1,28,0,1-2 Year,Yes,62123,26,160,0
Female,25,1,11,1,< 1 Year,No,24914,152,247,0
Male,57,1,33,0,> 2 Years,Yes,33893,138,192,0
Female,50,1,41,0,1-2 Year,Yes,36261,26,272,0
Male,24,1,8,1,< 1 Year,No,2630,151,96,0
Female,37,1,10,0,1-2 Year,Yes,2630,160,112,0
Male,39,1,28,0,1-2 Year,Yes,36672,25,150,0
Female,22,1,3,1,< 1 Year,No,22288,152,152,0
Female,29,1,15,1,< 1 Year,No,28491,152,178,0
Male,25,1,3,1,< 1 Year,No,2630,152,286,0
Male,77,1,8,0,1-2 Year,Yes,61087,7,131,0
Male,71,1,4,0,1-2 Year,Yes,33623,26,66,0
Male,42,1,28,1,1-2 Year,No,27093,124,142,0
Female,24,1,8,1,< 1 Year,No,30466,152,292,0
Female,40,1,12,1,1-2 Year,No,21343,152,178,0
Male,23,1,8,1,< 1 Year,No,23842,152,74,0
Male,58,1,39,0,1-2 Year,Yes,44251,124,230,0
Male,22,1,29,0,< 1 Year,Yes,33800,152,192,0
Male,21,1,47,1,< 1 Year,No,24860,160,157,0
Female,52,1,43,1,1-2 Year,No,2630,124,274,0
Male,47,1,8,0,1-2 Year,Yes,53817,26,119,0
Female,21,1,2,1,< 1 Year,No,23441,160,20,0
Male,25,1,36,1,< 1 Year,No,23656,152,50,0
Male,39,1,29,1,1-2 Year,No,32516,124,76,0
Female,68,1,28,1,1-2 Year,No,2630,26,170,0
Female,41,1,8,0,> 2 Years,Yes,47230,26,287,0
Female,26,1,13,1,< 1 Year,No,25637,152,21,0
Male,63,1,19,0,1-2 Year,Yes,32712,26,215,0
Male,21,1,46,1,< 1 Year,No,33597,152,20,0
Female,25,1,1,1,< 1 Year,No,2630,152,148,0
Male,26,1,28,1,< 1 Year,Yes,60928,152,96,0
Male,40,1,28,0,1-2 Year,Yes,57367,26,14,0
Female,25,1,20,0,< 1 Year,Yes,2630,152,232,0
Female,47,1,46,0,1-2 Year,Yes,35693,26,163,0
Female,23,1,23,1,< 1 Year,No,48379,152,169,0
Female,28,1,8,1,< 1 Year,No,44607,152,190,0
Female,22,1,49,0,< 1 Year,Yes,28121,152,89,0
Male,24,1,8,1,< 1 Year,No,36105,152,246,0
Male,28,1,46,1,< 1 Year,No,31695,152,23,0
Male,43,1,35,0,1-2 Year,Yes,2630,157,150,0
Male,44,1,28,1,1-2 Year,No,38004,26,10,0
Male,52,1,4,0,1-2 Year,Yes,37127,163,277,0
Male,30,1,46,0,< 1 Year,Yes,2630,156,80,0
Female,29,1,5,1,< 1 Year,No,33658,152,73,0
Female,70,1,28,0,1-2 Year,Yes,28060,26,41,0
Male,73,1,28,0,1-2 Year,Yes,2630,111,59,0
Female,24,1,50,1,< 1 Year,No,40952,152,246,0
Female,53,1,46,0,1-2 Year,Yes,36180,124,62,0
Female,63,1,11,0,1-2 Year,Yes,43155,124,222,0
Female,23,1,18,1,< 1 Year,Yes,43000,152,13,0
Female,22,1,8,1,< 1 Year,No,44318,152,246,0
Male,57,1,33,0,1-2 Year,Yes,2630,122,113,0
Male,61,1,28,1,1-2 Year,No,49474,152,267,0
Male,65,1,28,0,> 2 Years,Yes,44073,122,144,0
Male,58,1,44,0,1-2 Year,Yes,30339,124,248,0
Male,27,1,28,1,1-2 Year,No,32352,124,228,0
Male,46,1,47,1,1-2 Year,No,2630,26,211,0
Male,48,1,28,0,> 2 Years,Yes,39595,26,296,0
Female,32,1,39,0,< 1 Year,Yes,41285,124,293,0
Male,28,1,28,1,< 1 Year,No,35359,152,191,0
Male,34,1,35,1,1-2 Year,No,31644,152,283,0
Female,28,1,11,1,< 1 Year,No,27710,152,221,0
Male,31,1,28,1,< 1 Year,No,39060,152,28,0
Female,57,1,50,0,1-2 Year,Yes,27365,26,241,0
Male,30,1,36,0,< 1 Year,No,2630,152,88,0
Male,23,1,37,0,< 1 Year,Yes,2630,152,134,0
Male,23,1,29,1,< 1 Year,No,28225,152,40,0
Male,27,1,29,1,< 1 Year,No,2630,152,82,0
Female,22,1,11,0,< 1 Year,Yes,31431,152,11,0
Female,48,1,28,1,1-2 Year,No,32305,26,189,0
Male,73,1,28,1,1-2 Year,No,57550,8,28,0
Male,48,1,28,0,1-2 Year,Yes,33785,124,27,0
Female,55,1,14,1,1-2 Year,No,32578,26,286,0
Female,44,1,36,1,1-2 Year,No,32275,152,118,0
Female,21,1,46,1,< 1 Year,No,32129,160,162,0
Male,24,1,6,1,< 1 Year,No,40412,152,67,0
Male,62,1,46,1,1-2 Year,No,32076,124,49,0
Male,27,1,28,0,< 1 Year,Yes,33067,26,59,0
Male,53,1,15,0,1-2 Year,Yes,45106,124,293,0
Female,24,1,28,1,< 1 Year,No,44617,152,234,0
Male,69,1,35,0,1-2 Year,No,38565,26,31,0
Male,22,1,8,1,< 1 Year,No,51892,152,183,0
Female,47,1,50,0,1-2 Year,Yes,2630,8,77,0
Female,24,1,28,1,< 1 Year,No,59614,152,169,0
Male,20,1,50,1,< 1 Year,No,42832,160,72,0
Male,72,1,46,1,1-2 Year,No,2630,26,55,0
Male,26,1,28,1,< 1 Year,No,88964,152,161,0
Male,42,1,28,0,1-2 Year,No,36232,124,121,0
Female,24,1,28,1,< 1 Year,No,30169,152,147,0
Female,34,1,45,1,1-2 Year,No,28975,152,92,0
Male,33,1,8,0,< 1 Year,No,2630,1,62,0
Male,30,1,9,1,< 1 Year,No,40954,152,25,0
Male,30,1,6,0,< 1 Year,Yes,31954,152,181,0
Male,22,1,2,0,< 1 Year,No,30558,152,252,0
Male,44,1,8,1,1-2 Year,No,38268,124,46,0
