,Age,Annual_Premium,Vintage
430,-2.1641641375892045,-10.629468552658867,-2.213209981633475
1123,-2.2346365276931826,-8.000458486459788,-2.0840331366520113
2833,-2.0751594205352744,-5.538604832840484,-2.0828826742252398
4503,-2.077060443553136,-5.402816210950008,-2.199491209180743
3861,-2.093522734717049,-3.8976275684229362,-2.088103906466201
3156,-2.1265708834896353,-3.7024653462872834,-2.1372428805359194
1113,-2.38498949317441,-3.3629063988387777,-2.080256362689755
305,-2.102904797196948,-3.3247979213812284,-2.1004576911449098
5306,-2.0710404781642575,-3.307277746117183,-2.189375594815039
5027,-2.0976316483219035,-3.2487302323282172,-2.085494155770504
2675,-2.079478830948788,-3.1211480568750067,-2.201408123568828
5424,-2.0714699221744732,-3.114365186487107,-2.086770476391684
4048,-2.354059001162933,-2.7783564517450197,-2.109590930813769
1702,-2.102904797196948,-2.776766510004669,-2.0762172508952004
3955,-2.0931936280054435,-2.7037608768720593,-2.07209368212641
5029,-2.2346365276931826,-2.6694968656466243,-2.1480310462075556
435,-2.0710523185687153,-2.6552182990715094,-2.0722413555399397
3272,-2.093522734717049,-2.6315362027493743,-2.160936856012582
4447,-2.102904797196948,-2.6253875422611186,-2.1183519010522263
5428,-2.0735232612671703,-2.6230586518681696,-2.1839424219999133
832,-2.1822942578411313,-2.6213785991410665,-2.1465630983586097
146,-2.108208242346419,-2.6209687374666926,-2.209218812417009
1019,-2.1139202574682576,-2.5957943334847995,-2.084877411152889
3864,-2.0710523185687153,-2.5951843387940565,-2.080256362689755
4776,-2.0772021904914224,-2.582963740224055,-2.086125177470641
901,-2.0976316483219035,-2.5824929356173962,-2.119037096655995
4335,-2.4010528166086624,-2.5755874051954235,-2.0840331366520113
157,-2.085528378499407,-2.5749517299030726,-2.0885094956731516
2966,-2.13350993876291,-2.5556434353672364,-2.107133120400257
3306,-2.1200410638797687,-2.553994760114544,-2.126258709139809
1685,-2.0976316483219035,-2.540255220266034,-2.0892060874511396
537,-2.071434191771389,-2.527227050096431,-2.07679662801785
998,-2.0894436780309738,-2.5179664365289716,-2.082007839690138
1256,-2.072293499282851,-2.5173500411044545,-2.1313588553956153
2365,-2.102904797196948,-2.5143620802575937,-2.2064474381511596
1204,-2.0772021904914224,-2.5061874637108508,-2.0799691570945376
3855,-2.1557012195321574,-2.4996395826972515,-2.1386165765836482
3073,-2.2346365276931826,-2.4914123506611867,-2.07209368212641
