,Gender,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Response,Annual_Premium_AFTER
0,1,1,45,1,1,0,29654.0,35,0,0
1,0,1,32,1,1,0,33054.0,35,0,0
2,1,1,28,0,2,1,69040.0,28,1,2
3,0,1,28,0,0,1,2630.0,15,1,1
4,1,1,29,1,1,0,22147.0,35,0,0
5,1,1,28,0,0,1,50563.0,29,1,2
6,0,1,12,1,1,0,19992.0,35,0,0
7,0,1,37,1,1,0,2630.0,35,0,1
8,0,1,43,0,0,1,31564.0,29,0,0
9,1,1,28,0,2,1,47442.0,15,1,2
10,0,1,28,0,0,1,31915.0,15,0,0
11,1,1,28,0,0,1,58451.0,15,0,2
12,1,1,33,0,1,1,30974.0,29,1,0
13,0,1,46,1,1,0,27088.0,35,0,0
14,1,1,38,0,0,1,2630.0,29,1,1
15,1,1,8,0,0,1,47674.0,15,1,2
16,0,1,15,0,0,1,48657.0,43,1,2
17,0,1,28,1,0,0,2630.0,39,0,1
18,0,1,28,0,0,1,52453.0,29,1,2
19,0,1,28,1,0,0,36331.0,15,0,0
20,1,1,46,0,0,1,62534.0,15,0,2
21,0,1,41,1,1,0,2630.0,35,0,1
22,1,1,39,1,0,0,2630.0,9,0,1
23,0,1,28,0,2,1,39531.0,15,0,0
24,0,1,28,0,0,1,34986.0,18,1,0
25,0,1,37,0,1,1,34388.0,35,1,0
26,0,1,28,1,1,0,57744.0,35,0,2
27,0,1,28,0,1,1,43563.0,28,1,2
28,1,1,4,0,0,1,29978.0,39,0,0
29,0,1,28,0,0,1,37293.0,29,1,0
30,1,1,8,0,0,1,2630.0,43,1,1
31,1,1,28,0,0,1,127772.0,15,1,2
32,0,1,15,0,0,1,39539.0,20,0,0
33,1,1,28,0,0,1,38650.0,43,0,0
34,0,1,28,0,0,1,35805.0,28,0,0
35,1,1,28,0,0,1,47209.0,29,1,2
36,0,1,4,0,0,1,2630.0,37,1,1
37,1,1,50,0,0,1,42630.0,15,0,2
38,0,1,28,1,0,0,24437.0,29,0,0
39,1,1,28,0,0,1,49442.0,15,1,2
40,1,1,17,1,0,1,25260.0,40,0,0
41,1,1,46,0,0,1,34378.0,15,0,0
42,1,1,5,1,1,0,27910.0,35,0,0
43,1,1,28,0,0,1,38172.0,29,1,0
44,1,1,8,1,0,0,25973.0,25,0,0
45,1,1,28,0,1,1,39588.0,29,1,0
46,1,1,8,0,0,1,26667.0,29,1,0
47,1,1,11,1,1,0,38697.0,35,0,0
48,0,1,38,0,2,1,35213.0,15,0,0
49,0,1,28,0,0,1,2630.0,29,1,1
50,1,1,28,0,0,1,42144.0,15,1,2
51,0,1,15,1,1,0,64968.0,42,0,2
52,1,1,8,1,0,0,62762.0,29,0,2
53,0,1,29,0,0,1,30900.0,15,0,0
54,1,1,28,0,1,1,2630.0,29,1,1
55,0,1,47,0,1,1,27186.0,35,0,0
56,0,1,8,1,1,0,49837.0,35,0,2
57,1,1,48,0,0,1,2630.0,29,1,1
58,1,1,33,1,0,0,30698.0,28,0,0
59,1,1,5,0,1,1,2630.0,39,1,1
60,1,1,28,1,0,0,29754.0,29,0,0
61,1,1,37,0,1,1,2630.0,15,1,1
62,0,1,28,0,0,1,41802.0,15,0,2
63,1,1,27,0,1,1,28325.0,34,0,0
64,1,1,28,0,2,1,32763.0,15,0,0
65,0,1,3,0,2,1,2630.0,40,0,1
66,1,1,28,0,2,1,48059.0,29,0,2
67,1,1,6,0,0,1,33233.0,15,1,0
68,0,1,30,1,1,0,25976.0,35,0,0
69,0,1,8,0,0,1,48137.0,29,1,2
70,1,1,28,0,2,1,32477.0,29,1,0
71,0,1,28,0,0,1,38489.0,18,0,0
72,1,1,46,0,0,1,26146.0,40,1,0
73,0,1,28,0,0,1,34038.0,29,1,0
74,1,1,28,0,0,1,19799.0,17,1,0
75,1,1,15,0,0,1,30174.0,35,0,0
76,0,1,28,0,0,0,35208.0,28,0,0
77,1,1,28,1,0,0,49995.0,28,0,2
78,0,1,28,0,0,1,43052.0,29,1,2
79,1,1,35,0,0,0,23345.0,35,0,0
80,1,1,30,0,1,1,20387.0,43,1,0
81,0,1,7,0,0,1,29356.0,39,1,0
82,0,1,28,0,0,1,34856.0,29,1,0
83,1,1,3,1,0,0,30037.0,15,0,0
84,1,1,50,0,0,1,45580.0,29,1,2
85,0,1,33,0,0,1,31988.0,29,0,0
86,1,1,46,1,0,1,28111.0,29,0,0
87,0,1,28,0,0,1,47225.0,15,1,2
88,0,1,8,0,1,1,72561.0,35,0,2
89,0,1,28,0,2,1,61252.0,29,1,2
90,0,1,46,0,0,1,2630.0,39,1,1
91,0,1,46,0,0,1,27878.0,29,1,0
92,1,1,47,0,0,1,29832.0,29,1,0
93,0,1,46,0,1,1,2630.0,34,0,1
94,1,1,28,0,0,1,2630.0,29,0,1
95,1,1,14,1,1,0,50818.0,35,0,2
96,1,1,46,0,1,1,26205.0,35,1,0
97,1,1,28,0,0,1,29036.0,15,0,0
98,0,1,28,0,0,1,50447.0,15,1,2
99,1,1,8,0,2,1,48301.0,15,0,2
100,0,1,28,0,0,1,35658.0,15,1,0
101,1,1,28,0,0,1,47131.0,15,1,2
102,1,1,9,0,0,1,2630.0,39,1,1
103,0,1,47,0,0,1,31784.0,43,1,0
104,1,1,46,0,0,1,2630.0,15,0,1
105,0,1,8,1,1,0,39675.0,35,0,0
106,0,1,28,1,0,0,77169.0,19,0,2
107,0,1,14,0,0,1,36210.0,40,1,0
108,1,1,28,0,0,1,28156.0,15,1,0
109,0,1,28,0,0,1,43579.0,15,1,2
110,0,1,15,0,1,1,27932.0,34,1,0
111,1,1,46,0,0,1,36565.0,29,1,0
112,0,1,37,0,1,0,36273.0,35,0,0
113,0,1,8,0,0,1,34335.0,15,1,0
114,0,1,27,0,1,1,38504.0,35,1,0
115,0,1,46,0,0,1,25239.0,37,1,0
116,0,1,20,0,0,1,2630.0,29,1,1
117,1,1,37,0,1,1,29822.0,35,1,0
118,0,1,21,1,1,0,20653.0,35,0,0
119,1,1,8,0,0,1,41911.0,15,1,2
120,0,1,41,1,1,0,48267.0,35,0,2
121,1,1,30,1,1,0,24040.0,35,0,0
122,0,1,6,1,1,0,23733.0,35,0,0
123,1,1,3,0,1,1,2630.0,37,1,1
124,1,1,41,1,0,0,35591.0,29,0,0
125,0,1,28,1,0,0,33082.0,29,0,0
126,1,1,30,1,1,0,32568.0,35,0,0
127,0,1,37,1,1,1,27856.0,35,0,0
128,0,1,28,0,2,1,43049.0,15,1,2
129,1,1,46,0,0,0,2630.0,39,1,1
130,1,1,8,0,0,1,2630.0,40,1,1
131,0,1,8,1,1,0,44481.0,35,0,2
132,1,1,8,0,0,1,40709.0,29,1,0
133,0,1,47,1,1,0,29960.0,35,0,0
134,1,1,45,0,0,1,27581.0,39,1,0
135,1,1,28,0,0,1,42201.0,28,0,2
136,1,1,10,0,2,1,30085.0,35,1,0
137,1,1,46,0,0,1,24979.0,29,1,0
138,1,1,39,0,0,1,42713.0,29,1,2
139,1,1,11,0,0,0,23019.0,29,1,0
140,0,1,46,0,1,1,26118.0,35,0,0
141,1,1,28,1,0,1,34489.0,15,0,0
142,1,1,25,0,1,1,24830.0,42,0,0
143,0,1,28,0,0,1,39698.0,40,1,0
144,0,1,28,0,0,1,37810.0,28,1,0
145,1,1,3,1,0,0,41966.0,29,0,2
146,1,1,15,1,1,0,37937.0,35,0,0
147,1,1,29,0,0,1,40177.0,15,1,0
148,1,1,11,0,0,1,30483.0,29,0,0
149,0,1,7,1,1,0,2630.0,35,0,1
150,0,1,32,0,1,1,27514.0,34,1,0
151,0,1,41,1,1,1,26168.0,36,0,0
152,1,1,28,0,0,1,38378.0,29,1,0
153,0,1,3,0,0,1,34092.0,29,0,0
154,1,1,18,0,0,1,27955.0,15,1,0
155,1,1,8,0,0,1,27041.0,15,1,0
156,1,1,33,0,0,1,31213.0,29,1,0
157,1,1,8,1,0,0,36981.0,29,0,0
158,0,1,47,0,0,1,30290.0,29,0,0
159,1,1,41,1,1,0,29137.0,35,0,0
160,1,1,28,1,0,0,38452.0,12,0,0
161,1,1,29,1,1,0,29642.0,34,0,0
162,0,1,28,0,0,1,45056.0,15,1,2
163,1,1,46,1,1,0,30519.0,42,0,0
164,0,1,30,1,1,0,27733.0,35,0,0
165,1,1,28,1,0,0,38782.0,15,0,0
166,0,1,7,0,0,1,2630.0,29,1,1
167,1,1,3,0,0,1,2630.0,38,1,1
168,0,1,28,0,1,1,34868.0,35,0,0
169,0,1,37,0,1,1,33083.0,42,1,0
170,0,1,29,0,1,1,26772.0,35,0,0
171,0,1,25,1,1,0,27709.0,35,0,0
172,1,1,28,0,0,1,42331.0,29,1,2
173,0,1,28,0,0,1,27789.0,29,1,0
174,1,1,14,0,1,0,23955.0,35,0,0
175,0,1,47,1,1,0,29689.0,35,0,0
176,1,1,41,0,1,1,51709.0,29,1,2
177,1,1,29,1,1,0,2630.0,35,0,1
178,0,1,15,1,1,0,43527.0,35,0,2
179,0,1,29,0,0,1,32236.0,15,1,0
180,1,1,50,0,0,1,36966.0,4,1,0
181,1,1,28,0,0,1,30562.0,24,1,0
182,0,1,28,1,0,0,39138.0,29,0,0
183,0,1,28,1,0,0,21662.0,28,0,0
184,0,1,37,0,1,0,2630.0,42,0,1
185,0,1,33,1,1,0,44076.0,35,0,2
186,0,1,29,0,0,1,22332.0,29,1,0
187,0,1,28,0,0,1,37863.0,15,1,0
188,0,1,28,0,0,1,23135.0,29,1,0
189,1,1,8,0,0,1,2630.0,15,1,1
190,1,1,8,0,0,0,40646.0,29,0,0
191,1,1,18,0,0,1,27637.0,15,1,0
192,1,1,47,1,1,0,26997.0,35,0,0
193,1,1,28,0,0,1,36555.0,15,1,0
194,0,1,29,0,0,1,25416.0,8,1,0
195,0,1,46,0,0,1,26740.0,2,1,0
196,1,1,35,0,1,1,32019.0,35,0,0
197,1,1,28,0,0,1,53854.0,20,0,2
198,1,1,3,1,1,0,2630.0,35,0,1
199,0,1,27,0,1,1,2630.0,35,1,1
200,0,1,48,0,0,1,2630.0,15,1,1
201,1,1,28,0,0,1,36316.0,14,1,0
202,0,1,15,1,1,0,26350.0,35,0,0
203,1,1,29,0,0,1,2630.0,15,1,1
204,1,1,9,0,0,1,27561.0,29,0,0
205,1,1,28,0,0,1,35972.0,29,1,0
206,1,1,39,0,1,1,35715.0,29,1,0
207,0,1,28,1,1,0,63799.0,42,0,2
208,0,1,28,0,0,1,53396.0,28,1,2
