Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,2,0,19,0,1,0,0.5712565633389872,11,1.4142612905561303,1
1,7,0,12,0,0,1,-0.2718620578534857,8,-1.1181942191488072,1
0,23,0,1,0,0,1,-1.8001207679202624,8,0.7811474131298959,1
0,21,0,4,0,0,1,0.5096552531957135,8,1.0804376097313884,1
1,4,0,16,1,1,0,-0.3997985719244426,11,0.2976786340044078,0
1,7,0,14,0,1,1,-1.8001207679202624,11,-0.013122724004834519,0
0,31,0,14,0,0,1,0.07953851921996796,7,1.2761273536631337,1
0,9,0,28,1,1,0,0.5863079179355705,11,0.12501121288816205,0
1,30,0,20,0,0,1,0.3748606622319586,8,-1.1987723490030553,1
1,11,0,14,0,1,1,0.3126524426291451,8,-0.2203236293443294,1
1,9,0,14,0,0,1,-0.2396958564978846,5,-0.7153035698775672,1
1,4,0,25,1,1,0,-0.023878852685587326,11,0.7811474131298959,0
1,1,0,21,0,1,1,-1.8001207679202624,15,0.9883483184693908,1
1,25,0,14,0,0,1,0.011989496373205616,5,1.0228818026926398,1
0,30,0,14,0,0,1,-0.13646055743019123,8,-0.33543524342182657,1
0,5,0,7,1,1,0,-0.3948826053021715,11,0.9423036728383919,0
0,3,0,17,0,1,0,-1.8001207679202624,11,-1.5671295140510462,1
0,3,0,8,0,1,1,-0.30949044434494366,10,0.2746563111889084,0
1,39,0,14,0,0,1,0.19242367869434168,5,-0.4965915031303226,0
0,24,0,26,0,0,1,0.1632920246364388,5,-0.358457566237326,0
1,1,0,25,1,1,0,-0.5770161341100186,11,1.0459041255081394,0
0,5,0,14,1,1,0,1.5091744421115527,11,-0.9800602822558107,0
1,30,0,5,0,0,1,-1.8001207679202624,5,-0.3009017591985774,0
1,5,0,21,1,1,0,0.05829668813608043,11,1.2876385150708833,0
0,19,0,14,0,0,1,0.40180744223551873,5,-1.1872611875953054,0
1,3,0,11,1,1,0,0.31580837181875127,11,1.137993416770137,0
1,21,0,9,0,0,0,-1.8001207679202624,11,-0.60019195580007,0
1,39,0,14,0,0,1,0.020789683536530452,5,1.5293729046336273,0
0,13,0,28,0,0,1,0.21378689167013715,5,0.03292192162616434,0
1,32,0,14,1,0,0,0.19466924369463837,8,-0.11672317667458196,0
1,40,0,14,0,0,1,-0.40981257800684673,8,0.5624353463826512,1
0,24,0,14,0,0,1,0.5174843852237748,5,0.6890581218678982,1
1,8,0,21,0,1,0,-1.8001207679202624,11,1.506350581818128,0
0,39,0,14,0,2,1,0.6695152048384556,12,-0.2893905977908277,1
1,15,0,25,0,0,1,0.5423676730649002,8,-0.6577477628388185,1
1,27,0,14,0,0,1,0.34718559087695083,5,-0.2663682749753283,1
1,15,0,7,0,0,1,-0.4632206104463354,5,1.4142612905561303,1
1,33,0,19,0,0,1,0.14186812071468938,8,0.2171005041501598,1
1,16,0,22,0,0,1,-0.020601541604073247,8,0.8502143815763942,1
1,41,0,22,1,0,0,0.7458037239025888,3,-1.486551384196798,0
0,22,0,14,0,0,1,0.007376984480704325,5,0.4473237323051541,1
