,Gender,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Response,Annual_Premium_AFTER
0,1,0,13,1,1,0,29654.0,5,0,0
1,0,0,6,1,1,0,33054.0,5,0,0
2,1,0,4,0,2,1,69040.0,3,1,1
3,0,0,4,0,0,1,2630.0,1,1,2
4,1,0,5,1,1,0,22147.0,5,0,0
5,1,0,4,0,0,1,50563.0,4,1,1
6,0,0,2,1,1,0,19992.0,5,0,0
7,0,0,8,1,1,0,2630.0,5,0,2
8,0,0,12,0,0,1,31564.0,4,0,0
9,1,0,4,0,2,1,47442.0,1,1,1
10,0,0,4,0,0,1,31915.0,1,0,0
11,1,0,4,0,0,1,58451.0,1,0,1
12,1,0,7,0,1,1,30974.0,4,1,0
13,0,0,14,1,1,0,27088.0,5,0,0
14,1,0,9,0,0,1,2630.0,4,1,2
15,1,0,1,0,0,1,47674.0,1,1,1
16,0,0,3,0,0,1,48657.0,7,1,1
17,0,0,4,1,0,0,2630.0,6,0,2
18,0,0,4,0,0,1,52453.0,4,1,1
19,0,0,4,1,0,0,36331.0,1,0,0
20,1,0,14,0,0,1,62534.0,1,0,1
21,0,0,11,1,1,0,2630.0,5,0,2
22,1,0,10,1,0,0,2630.0,0,0,2
23,0,0,4,0,2,1,39531.0,1,0,0
24,0,0,4,0,0,1,34986.0,2,1,0
25,0,0,8,0,1,1,34388.0,5,1,0
26,0,0,4,1,1,0,57744.0,5,0,1
27,0,0,4,0,1,1,43563.0,3,1,1
28,1,0,0,0,0,1,29978.0,6,0,0
29,0,0,4,0,0,1,37293.0,4,1,0
